Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-09-25 12:21 AM,2022-09-25 8:56 AM,472,43,21,515,128,257,87
2022-09-23 10:00 PM,2022-09-24 7:55 AM,549,46,25,595,165,303,81
2022-09-22 11:53 PM,2022-09-23 6:08 AM,339,36,22,375,96,212,31
2022-09-21 10:57 PM,2022-09-22 5:35 AM,358,40,19,398,94,199,65
2022-09-20 11:52 PM,2022-09-21 6:08 AM,350,26,12,376,103,187,60
2022-09-19 11:48 PM,2022-09-20 6:06 AM,340,38,16,378,90,208,42
2022-09-18 10:25 PM,2022-09-19 5:36 AM,395,35,23,430,103,211,81
2022-09-18 1:00 AM,2022-09-18 8:12 AM,400,32,24,432,153,164,83
2022-09-16 11:32 PM,2022-09-17 8:38 AM,478,68,38,546,115,288,75
2022-09-16 12:16 AM,2022-09-16 7:46 AM,386,64,34,450,77,280,29
2022-09-15 2:26 PM,2022-09-15 4:01 PM,85,10,0,95,-1,-1,-1
2022-09-14 9:49 PM,2022-09-15 12:35 PM,756,130,43,886,91,558,107
2022-09-14 5:24 PM,2022-09-14 6:54 PM,73,16,0,89,-1,-1,-1
2022-09-14 12:47 AM,2022-09-14 8:34 AM,406,61,29,467,98,226,82
2022-09-13 12:51 AM,2022-09-13 7:32 AM,393,8,0,401,-1,-1,-1
2022-09-12 12:02 AM,2022-09-12 7:33 AM,388,62,26,450,99,248,41
2022-09-11 1:04 AM,2022-09-11 7:58 AM,381,33,23,414,140,171,70
2022-09-10 2:34 AM,2022-09-10 9:04 AM,378,12,1,390,-1,-1,-1
2022-09-09 12:10 AM,2022-09-09 6:16 AM,341,25,19,366,87,205,49
2022-09-08 12:18 AM,2022-09-08 6:16 AM,301,57,15,358,67,172,62
