Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2022-09-01,"1,791","10,259",4.29,0,"1,440",0,0,0,0
2022-09-02,"2,363","26,670",11.15,0,"1,440",0,0,0,0
2022-09-03,"1,442","4,076",1.7,0,"1,440",0,0,0,0
2022-09-04,"1,581","6,426",2.69,0,"1,440",0,0,0,0
2022-09-05,"1,571","8,828",3.69,0,"1,440",0,0,0,0
2022-09-06,"1,511","4,990",2.09,0,"1,440",0,0,0,0
2022-09-07,"1,453","4,699",1.97,0,"1,342",98,0,0,271
2022-09-08,"1,435","4,273",1.79,0,965,101,0,16,334
2022-09-09,"1,530","5,362",2.24,0,904,170,0,0,462
2022-09-10,"1,333","2,373",0.99,0,945,105,0,0,250
2022-09-11,"1,590","7,831",3.27,0,800,207,6,13,613
2022-09-12,"1,646","9,150",3.83,0,798,140,21,31,613
2022-09-13,"1,515","7,337",3.07,0,930,65,8,36,435
2022-09-14,"1,694","3,280",1.37,0,685,158,26,15,615
2022-09-15,"1,274","1,040",0.43,0,406,53,0,0,131
2022-09-16,"1,193",754,0.32,0,964,26,0,0,68
2022-09-17,"1,674","11,197",4.68,0,677,165,47,5,681
2022-09-18,"1,627","8,676",3.63,0,756,230,22,0,663
2022-09-19,"1,480","6,390",2.67,0,853,122,11,24,440
2022-09-20,"1,460","6,067",2.54,0,922,108,1,31,408
2022-09-21,"1,383","3,868",1.62,0,955,91,0,18,303
2022-09-22,"1,383","4,967",2.08,0,952,57,3,30,299
2022-09-23,"1,417","4,730",1.98,0,947,101,1,16,343
2022-09-24,"1,401","3,182",1.33,0,732,113,0,0,290
2022-09-25,"1,697","16,245",6.79,0,493,94,57,75,878
