Index,date,Day_of_Week,Nap,bed_time_relative_in_hrs,Start Time,End Time,Time in Bed,Minutes Asleep,Minutes Awake,Number of Awakenings,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
1,2024-01-16,Tue,0,0.40,2024-01-16 12:24 AM,2024-01-16 7:48 AM,444,384,60,23,105,200,79
2,2024-01-17,Wed,0,0.67,2024-01-17 12:40 AM,2024-01-17 7:57 AM,437,413,24,23,95,251,67
3,2024-01-18,Thur,0,-0.53,2024-01-17 11:28 PM,2024-01-18 6:32 AM,424,389,35,26,101,182,106
4,2024-01-20,Sat,0,1.50,2024-01-20 1:30 AM,2024-01-20 8:00 AM,389,358,31,25,96,184,78
5,2024-01-21,Sun,0,0.03,2024-01-21 12:02 AM,2024-01-21 7:46 AM,464,434,30,21,124,212,98
6,2024-01-21,Sun,1,14.22,2024-01-21 2:13 PM,2024-01-21 4:16 PM,123,121,2,0,-1,-1,-1
7,2024-01-22,Mon,0,0.20,2024-01-22 12:12 AM,2024-01-22 7:35 AM,443,412,31,25,118,216,78
8,2024-01-23,Tue,0,2.28,2024-01-23 2:17 AM,2024-01-23 6:53 AM,276,245,31,16,52,154,39
9,2024-01-24,Wed,0,1.15,2024-01-24 1:09 AM,2024-01-24 6:49 AM,340,305,35,16,51,181,73
10,2024-01-25,Thur,0,-1.67,2024-01-24 10:20 PM,2024-01-25 6:45 AM,505,445,60,24,118,290,37
11,2024-01-26,Fri,0,0.15,2024-01-26 12:09 AM,2024-01-26 6:48 AM,398,360,38,30,92,252,16
12,2024-01-27,Sat,0,-0.07,2024-01-26 11:56 PM,2024-01-27 7:21 AM,445,400,45,33,92,231,77
13,2024-01-27,Sat,1,14.42,2024-01-27 2:25 PM,2024-01-27 3:48 PM,83,82,1,0,-1,-1,-1
14,2024-01-28,Sun,0,1.22,2024-01-28 1:13 AM,2024-01-28 7:51 AM,397,348,49,19,82,191,75
15,2024-01-29,Mon,0,0.38,2024-01-29 12:23 AM,2024-01-29 6:32 AM,368,320,48,23,66,213,41
16,2024-01-30,Tue,0,0.03,2024-01-30 12:02 AM,2024-01-30 6:45 AM,403,342,61,25,73,206,63
17,2024-01-31,Wed,0,1.22,2024-01-31 1:13 AM,2024-01-31 6:39 AM,326,269,57,12,81,150,38
18,2024-02-01,Thur,0,0.50,2024-02-01 12:30 AM,2024-02-01 6:42 AM,372,336,36,24,97,162,77
19,2024-02-02,Fri,0,0.68,2024-02-02 12:41 AM,2024-02-02 6:58 AM,377,335,42,20,105,160,70
20,2024-02-03,Sat,0,1.20,2024-02-03 1:12 AM,2024-02-03 7:07 AM,355,317,38,20,89,175,53
21,2024-02-04,Sun,0,0.23,2024-02-04 12:14 AM,2024-02-04 7:10 AM,416,370,46,24,112,216,42
22,2024-02-05,Mon,0,-0.70,2024-02-04 11:18 PM,2024-02-05 6:48 AM,450,397,53,21,101,205,91
23,2024-02-06,Tue,0,0.60,2024-02-06 12:36 AM,2024-02-06 6:51 AM,375,340,35,18,104,155,81
24,2024-02-07,Wed,0,-0.15,2024-02-06 11:51 PM,2024-02-07 6:57 AM,425,381,44,27,99,223,59
25,2024-02-08,Thur,0,-0.65,2024-02-07 11:21 PM,2024-02-08 7:03 AM,462,426,36,27,113,237,76
26,2024-02-09,Fri,0,2.30,2024-02-09 2:18 AM,2024-02-09 7:23 AM,304,277,27,19,62,167,48
27,2024-02-10,Sat,0,0.42,2024-02-10 12:25 AM,2024-02-10 7:42 AM,437,392,45,19,121,176,95
28,2024-02-11,Sun,0,0.67,2024-02-11 12:40 AM,2024-02-11 7:31 AM,411,373,38,23,86,216,71
29,2024-02-12,Mon,0,-0.02,2024-02-11 11:59 PM,2024-02-12 6:46 AM,407,372,35,20,94,230,48
30,2024-02-13,Tue,0,0.02,2024-02-13 12:01 AM,2024-02-13 7:02 AM,421,380,41,23,91,250,39
31,2024-02-14,Wed,0,-0.03,2024-02-13 11:58 PM,2024-02-14 6:53 AM,415,377,38,17,106,232,39
32,2024-02-15,Thur,0,1.07,2024-02-15 1:04 AM,2024-02-15 6:59 AM,354,318,36,17,104,180,34
