Day ID,Work Out,If_work_out,Bed Time ,Relative Bed Time,Reading,TV/Social media,Self Care ,Chores ,Study Time
1,0,no,1:27 AM,1.45,0,7,yes,yes,0.7
2,1,yes,1:30 AM,1.50,3,4,yes,yes,1.5
3,1,yes,1:33 AM,1.55,0,6,yes,yes,2.5
4,0,no,12:45 AM,0.75,0,6,yes,yes,2.0
5,0.5,yes,2:20 AM,2.33,0,8,yes,yes,2.5
6,0.5,yes,12:30 AM,0.50,1,5,yes,no,3.0
7,0.5,yes,12:30 AM,0.50,0.5,5,yes,no ,3.0
8,0.5,yes,12:33 AM,0.55,0,5,yes,no,4.0
9,0.5,yes,1:20 AM,1.33,0,7,yes,no,4.0
10,0.5,yes,1:00 AM,1.00,0,7,yes,yes,4.0
11,0.5,yes,12:45 AM,0.75,0,5,yes,no,2.5
12,0.5,yes,12:23 AM,0.38,0,5,yes,no,1.3
13,0.5,yes,1:40 AM,1.67,0,3,yes,yes,7.0
14,0.5,yes,2:45 AM,2.75,0,3,yes,yes,6.5
15,1,yes,12:00 AM,0.00,0,2,yes,yes,8.0
16,1,yes,1:40 AM,1.67,0,12,yes,yes,2.0
17,0.5,yes,1:17 AM,1.28,0.5,14,yes,yes,3.0
18,0.5,yes,12:50 AM,0.83,0,12,yes,no,4.0
19,0.5,yes,1:13 AM,1.22,0,7,yes,no,2.0
20,1,yes,1:30 AM,1.50,0.5,2,yes,yes,8.0
21,1,yes,12:13 AM,0.22,0.5,5,yes,no,3.0
22,1,yes,1:13 AM,1.22,3,4,yes,no,13.0
23,2,yes,12:50 AM,0.83,2,11,yes,yes,3.0
24,0,no,12:30 AM,0.50,2,17,yes,no,3.0
25,0,no,12:30 AM,0.50,4,13,yes,yes,0.0
26,0.5,yes,12:35 AM,0.58,3,13,yes,yes,4.0
27,1,yes,12:20 AM,0.33,2,4,yes,no,6.0
28,2,yes,12:34 AM,0.57,3,5,yes,no,3.0
29,1,yes,12:20 AM,0.33,0,8,yes,yes,4.0
30,1,yes,12:30 AM,0.50,0,4,yes,no,3.0
31,1,yes,12:11 AM,0.18,0,4,yes,no,7.0
32,2,yes,12:20 AM,0.33,0.5,9,yes,no,0.5
33,0.5,yes,1:00 AM,1.00,1,12,yes,yes,2.0
34,2,yes,1:30 AM,1.50,1,6,yes,yes,7.0
35,0,no,12:40 AM,0.67,0,13,yes,no,4.0
36,0.5,yes,12:35 AM,0.58,0.5,8,yes,yes,8.0
37,1,yes,12:30 AM,0.50,0,8,yes ,yes ,9.0
38,1,yes,12:30 AM,0.50,0,12,yes ,yes ,11.0
39,0,no,12:00 AM,0.00,0,9,yes ,yes ,3.0
40,1,yes,12:00 AM,0.00,0,7,yes ,no,5.0
41,0.5,yes,1:45 AM,1.75,1,9,yes,no,5.0
42,0,no,12:00 AM,0.00,0,10,yes,yes ,2.0
43,1,yes,12:34 AM,0.57,1,5,yes,yes ,3.0
44,0,no,12:10 AM,0.17,0,14,yes,yes,1.0
45,0,no,12:55 AM,0.92,0,17,yes,no,2.0
46,0,no,12:40 AM,0.67,0,8,yes,no,2.0
47,0,no,12:20 AM,0.33,0,8,yes,yes,2.0
48,0,no,11:40 PM,-0.33,0,3,yes,yes,2.0
49,0,no,12:00 AM,0.00,0,9,yes,yes,5.0
51,0.5,yes,12:30 AM,0.50,1,2,yes,no,0.0
52,0.5,yes,2:20 AM,2.33,1,9,yes,yes,0.0
53,0.5,yes,1:30 AM,1.50,1,9,yes,no,0.5
54,0.5,yes,1:00 AM,1.00,1,16,yes,yes,2.0
55,1,yes,3:20 AM,3.33,2,9,yes,yes,3.0
56,0.5,yes,1:20 AM,1.33,0,14,yes,yes,4.0
57,0.5,yes,12:00 AM,0.00,1,8,yes,no,1.0
58,0,no,12:00 AM,0.00,1,7,yes,no,0.0
59,0,no,12:30 AM,0.50,1,9,yes,no,0.0
60,0,no,1:00 AM,1.00,1,9,yes,no,3.0
61,0,no,1:00 AM,1.00,1,2,yes,yes,4.0
62,0.5,yes,1:00 AM,1.00,0.5,5,yes,yes,9.0
63,0.5,yes,11:00 PM,-1.00,0,7,yes,yes,3.0
64,1.5,yes,11:00 PM,-1.00,0.5,3,yes,yes,5.0
65,0.5,yes,1:30 AM,1.50,0,8,yes,yes,3.0
66,0.5,yes,1:30 AM,1.50,0.5,9,yes,yes,3.0
67,0.5,yes,12:40 AM,0.67,0,9,yes,yes,6.0
68,0.5,yes,12:30 AM,0.50,0,3,yes,no,4.0
69,0.5,yes,12:30 AM,0.50,0,6,yes,yes,1.0
70,0.5,yes,12:30 AM,0.50,0,8,yes,yes,2.0
71,0.5,yes,1:00 AM,1.00,0.5,9,yes,no,4.0
72,0.5,yes,2:00 AM,2.00,0,12,yes,no,5.0
73,0.5,yes,2:00 AM,2.00,0,9,yes,no,3.0
74,0.5,yes,1:00 AM,1.00,0,7,yes,no,4.0
75,0.5,yes,11:00 PM,-1.00,0,7,yes,yes,3.0
76,0.5,yes,1:00 AM,1.00,0,9,yes,yes,5.0
