Date ID,Dulingo Lessons,Hours at Work,If_work,Sleep,Awake,Sleep_time,Artistic Endevour,Video Games,Movie
1/30/23,1,0,No,2:06 AM,9:13 AM,7.12,Yes,Yes,No
1/31/23,2,0,No,1:56 AM,11:24 AM,9.47,Yes,Yes,Yes
2/1/23,1,4,Yes,1:33 AM,7:15 AM,5.70,Yes,No,No
2/2/23,2,4,Yes,1:45 AM,7:25 AM,5.67,No,Yes,No
2/3/23,2,0,No,2:05 AM,7:20 AM,5.25,No,Yes,Yes
2/4/23,1,0,No,1:25 AM,8:23 AM,6.97,No,Yes,No
2/5/23,0,0,No,2:05 AM,11:31 AM,9.43,No,Yes,No
2/6/23,0,0,No,2:15 AM,9:01 AM,6.77,No,Yes,No
2/7/23,1,0,No,4:12 AM,9:30 AM,5.30,Yes,Yes,No
2/8/23,1,0,No,5:45 AM,10:23 AM,4.63,Yes,Yes,No
2/9/23,1,3.5,Yes,4:45 AM,7:46 AM,3.02,No,Yes,No
2/10/23,1,7,Yes,3:00 AM,7:25 AM,4.42,No,Yes,Yes
2/11/23,1,0,No,3:23 AM,11:24 AM,8.02,No,Yes,No
2/12/23,6,0,No,4:02 AM,10:55 AM,6.88,No,Yes,No
2/13/23,1,3.5,Yes,3:42 AM,9:53 AM,6.18,No,Yes,No
2/14/23,0,3,Yes,2:45 AM,7:27 AM,4.70,No,Yes,No
2/15/23,1,2.5,Yes,4:05 AM,7:47 AM,3.70,No,Yes,No
2/16/23,1,3,Yes,3:56 AM,7:23 AM,3.45,No,Yes,Yes
2/17/23,0,0,No,5:56 AM,12:30 PM,6.57,No,Yes,No
2/18/23,0,0,No,3:21 AM,10:45 AM,7.40,No,Yes,Yes
2/19/23,0,0,No,2:43 AM,9:14 AM,6.52,No,Yes,Yes
2/20/23,0,0,No,4:23 AM,10:12 AM,5.82,No,Yes,Yes
2/21/23,0,0,No,2:11 AM,12:02 PM,9.85,No,Yes,Yes
