title,brand,three_star,four_star,five_star,reviewsCount,price,productPosition
"Ferrero Rocher, 24 Count, Premium Milk Chocolate Hazelnut, Valentine's Chocolate Gift Box, 10.6 oz",Ferrero Rocher,0.02,0.07,0.89,20021,11.39,7
"HERSHEY'S NUGGETS Assorted Chocolate, Valentine's Day Candy Party Pack, 31.5 oz",HERSHEY'S,0.03,0.1,0.84,18891,10.69,16
"LEGO Icons Flower Bouquet Building Decoration Set - Artificial Flowers with Roses, Home Accessories or Valentine Décor for Him and Her, Gift for Valentines Day, Botanical Collection for Adults, 10280",LEGO,0.01,0.05,0.92,19395,47.99,2
"BodyRefresh Shower Steamers Aromatherapy - 8 Pack Shower Bombs with Essential Oils. Self Care Birthday Gifts for Women, Gifts for Women Men Mom, Valentines Day Gifts for Her Him",BodyRefresh,0.07,0.15,0.67,593,9.99,10
"JoJowell Shower Steamers Aromatherapy - 21Pcs Shower Bombs Gifts for Women Essential Oil, Nasal Relief, Self Care, Birthday Gifts for Women, Gifts for Mom, Valentines Day Gifts for Her Him",JoJowell,0.1,0.15,0.63,816,21.99,11
"ChunRun Valentines Day Gifts - I Hope Your Day Keychain - Perfect Gifts for Her, Girlfriend, Husband, Wife I Love You Romantic Presents Gift Ideas",ChunRun,0,0.49,0.51,2,9.99,44
"LEGO Cherry Blossoms Gift for Valentine's Day, Buildable Floral Display for Creative Kids, White and Pink Cherry Blossom, Spring Flower Gift for Girls and Boys Aged 8 and Up, 40725",LEGO,0.05,0.07,0.83,55,14.99,4
"Body Restore Shower Steamers Aromatherapy 6 Packs - Valentines Day Gifts, Relaxation Birthday Gifts for Women and Men, Stress Relief and Effortless Self Care, Bloom Variety Scent Shower Bath Bombs",Body Restore,0.08,0.15,0.7,12655,14.39,15
"40 Date Ideas Card Games for Couples Date Night - Unique Date Deck Scratch Off Cards, Valentines Day Gifts for Boyfriend - Romantic Newlywed and Wedding Anniversary Couples Gifts for Him and Her",Tryuunion,0.08,0.13,0.75,649,15.95,48
"JOYIN 24 PCS Valentine's Day Heart Stress Balls 1.6""x1.6"" for Kids, Squishy Toys Slow Rising for School Carnival Reward, Valentine Party Present Fillers, Valentines Day Gifts, Relieve Stress Toys",JOYIN,0.06,0.13,0.77,721,21.99,52
"LEGO Sunflowers Building Kit, Artificial Flowers for Home Décor, Gift for Valentine's Day, Flower Building Toy Set for Kids, Sunflower Gift for Girls and Boys Ages 8 and Up, 40524",LEGO,0.02,0.07,0.72,1539,14.99,3
"Hallmark Valentines Day Cards for Kids and Mailbox for Classroom Exchange, Minecraft (1 Box, 32 Valentine Cards, 35 Stickers, 1 Teacher Card)",Hallmark,0.03,0.1,0.84,3677,9.99,5
"Ferrero Rocher Collection, 48 Count, Gourmet Assorted Hazelnut Chocolate and Coconut, Valentine's Chocolate, 18.2 oz",Ferrero Rocher,0.03,0.08,0.86,28226,29.29,41
"Brach's Valentine's Day Tiny Conversation Hearts, Friendship Exchange, 1 oz Boxes, 24 Ct",Brach's,0.06,0.09,0.77,688,24.1,43
"Hallmark Valentine's Day Paper Treat Sacks (30 Bags: Happy Valentine's Day, Hearts) for Classroom Parties, Valentines, Kids, Coworkers",Hallmark,0.05,0.1,0.83,128,9.99,45
